site_type,style,sections,num_sections
saas_landing,modern_gradient,"navbar,features,footer",3
saas_landing,modern_gradient,"navbar,features,footer",3
portfolio,modern_gradient,"navbar,features,footer",3
saas_landing,modern_gradient,hero,1
ecommerce,modern_gradient,"navbar,hero,footer",3
blog,modern_gradient,"navbar,hero,footer",3
saas_landing,modern_gradient,"navbar,hero,footer",3
blog,modern_gradient,"navbar,hero,footer",3
blog,glassmorphism,"navbar,features,footer",3
ecommerce,minimal_clean,"navbar,hero,footer",3
portfolio,modern_gradient,navbar,1
blog,modern_gradient,navbar,1
portfolio,modern_gradient,"navbar,footer",2
ecommerce,modern_gradient,"hero,features",2
other,minimal_clean,"navbar,footer",2
ecommerce,modern_gradient,"hero,features",2
blog,modern_gradient,"navbar,hero,footer",3
portfolio,minimal_clean,,0
ecommerce,glassmorphism,"navbar,footer",2
saas_landing,glassmorphism,"navbar,footer",2
saas_landing,modern_gradient,"navbar,hero,features,footer",4
saas_landing,minimal_clean,"navbar,hero,footer",3
ecommerce,modern_gradient,"navbar,footer",2
portfolio,modern_gradient,"navbar,hero,footer",3
corporate,glassmorphism,"navbar,footer",2
saas_landing,dark_mode,"navbar,footer",2
corporate,modern_gradient,navbar,1
other,minimal_clean,hero,1
blog,modern_gradient,navbar,1
other,minimal_clean,hero,1
saas_landing,glassmorphism,hero,1
corporate,modern_gradient,"navbar,hero,footer",3
blog,minimal_clean,"navbar,features,footer",3
portfolio,modern_gradient,"navbar,features,footer",3
saas_landing,modern_gradient,"navbar,hero,footer",3
saas_landing,glassmorphism,navbar,1
saas_landing,modern_gradient,"navbar,features",2
ecommerce,glassmorphism,"navbar,hero,footer",3
saas_landing,dark_mode,"navbar,hero,footer",3
saas_landing,dark_mode,"navbar,features,footer",3
portfolio,dark_mode,"navbar,hero,features",3
saas_landing,modern_gradient,"navbar,features,footer",3
saas_landing,dark_mode,"navbar,features,footer",3
saas_landing,glassmorphism,"navbar,hero,footer",3
blog,modern_gradient,"navbar,hero",2
ecommerce,glassmorphism,,0
